GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2252034,291265,275946,307937,396521,0.12933419300063853,0.12253189783102741,0.17607238611850443,0.13673727838922503,0.31280966450772946,0.43534156233875687,0.5646757553393954
31540,"Madison, WI Metro Area",110766,14036,13908,22170,19168,0.12671758481844608,0.12556199555820377,0.1730494917212863,0.2001516710904068,0.37320116281169313,0.4987631583698969,0.625480743188343
31700,"Manchester-Nashua, NH Metro Area",55727,7832,5313,10763,5229,0.14054228650384912,0.09533978143449315,0.09383243311141816,0.19313797620543005,0.2869704093168482,0.38231019075134137,0.5228524772551905
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",901224,91032,116849,126840,195374,0.10100929402679024,0.12965589021153454,0.2167873913699591,0.14074192431626323,0.3575293156862223,0.4871852058977568,0.5881944999245471
33340,"Milwaukee-Waukesha, WI Metro Area",257887,34381,22530,32599,39432,0.1333180811750883,0.08736384540515807,0.15290417896210357,0.12640807795662443,0.27931225691872796,0.36667610232388603,0.49999418349897434
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",414228,24483,47685,70377,127074,0.059105130507836265,0.11511776123294418,0.3067730814913526,0.1698991859555607,0.47667226744691327,0.5917900286798574,0.6508951591876937
34940,"Naples-Marco Island, FL Metro Area",40365,5371,5853,5016,4270,0.13306082001734176,0.1450018580453363,0.10578471448036665,0.12426607209215905,0.2300507865725257,0.37505264461786203,0.5081134646352038
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",254616,32286,38884,21254,34302,0.12680271467621831,0.1527162472114871,0.13472052031294185,0.0834747227197034,0.21819524303264523,0.37091149024413234,0.4977142049203506
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",3495249,329309,319899,599854,1028679,0.09421617744544095,0.09152395151246735,0.29430778751385095,0.1716198187883038,0.46592760630215474,0.5574515578146221,0.651667735260063
36540,"Omaha-Council Bluffs, NE-IA Metro Area",125966,16491,22162,15117,15572,0.13091627899591954,0.17593636378070274,0.1236206595430513,0.12000857374212089,0.2436292332851722,0.41956559706587493,0.5504818760617944
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",342328,42281,57247,36153,32271,0.12351020074314692,0.16722850599425113,0.0942692388586385,0.10560924026080251,0.199878479119441,0.3671069851136921,0.49061718585683906
36780,"Oshkosh-Neenah, WI Metro Area",24587,4919,3566,1889,2158,0.2000650750396551,0.14503599463130923,0.08776995973481921,0.07682921869280514,0.16459917842762437,0.30963517305893357,0.5097002480985887
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",622467,67635,73083,42382,109955,0.10865636250596417,0.11740863371070273,0.17664390240767783,0.06808714357548272,0.24473104598316056,0.3621396796938633,0.47079604219982746
