GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,renter_occupied_5_plus,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
24340,"Grand Rapids-Wyoming, MI Metro Area",105342,13144,16809,8974,9432,48359,0.12477454386664388,0.1595659850771772,0.0895369368343111,0.08518919329422263,0.17472613012853372,0.33429211520571095,0.45906665907235483
24580,"Green Bay, WI Metro Area",40650,9765,5012,2893,3193,20863,0.24022140221402213,0.12329643296432964,0.07854858548585486,0.07116851168511686,0.1497170971709717,0.27301353013530133,0.5132349323493235
24780,"Greenville, NC Metro Area",32937,6066,6078,2378,767,15289,0.1841697786683669,0.1845341105747336,0.023286881015271578,0.07219843944500107,0.09548532046027264,0.2800194310350062,0.46418920970337313
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",157016,23210,16630,14709,20506,75055,0.14781933051408774,0.10591277322056351,0.13059815560197688,0.09367835125082793,0.2242765068528048,0.33018928007336834,0.47800861058745603
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",914476,99785,179968,91712,162291,533756,0.109117133746539,0.19679904119955036,0.17746884554652062,0.10028912732537541,0.277757972871896,0.4745570140714464,0.5836741478179854
26980,"Iowa City, IA Metro Area",25993,4119,5843,3022,1741,14725,0.15846574077636286,0.22479128996268227,0.06697957142307544,0.11626207055745778,0.18324164198053322,0.4080329319432155,0.5664986727195783
28020,"Kalamazoo-Portage, MI Metro Area",43783,6250,7311,6026,3507,23094,0.14274946897197544,0.16698261882465798,0.08009958202955485,0.1376333280040198,0.21773291003357467,0.3847155288582326,0.5274649978302081
29200,"Lafayette-West Lafayette, IN Metro Area",34000,4854,5300,3638,1985,15777,0.14276470588235293,0.15588235294117647,0.05838235294117647,0.107,0.16538235294117648,0.32126470588235295,0.46402941176470586
29620,"Lansing-East Lansing, MI Metro Area",65595,9073,13208,5506,5935,33722,0.1383184693955332,0.20135681073252534,0.09047945727570698,0.08393932464364662,0.17441878191935362,0.37577559265187893,0.5140940620474121
30700,"Lincoln, NE Metro Area",50876,6211,9249,7366,4688,27514,0.122081138454281,0.1817949524333674,0.09214560893151977,0.14478339492098435,0.23692900385250412,0.41872395628587156,0.5408050947401525
